team1,powerplay_runs_team1,powerplay_wickets_team1,team2,powerplay_runs_team2,powerplay_wickets_team2,venue,pitch_type,homeground_advantage,team1_toss_win,teampoint_diff,team1_win
9,56,0,2,37,1,4,1,2,1,-746,1
4,68,1,11,47,1,32,-2,1,1,9,1
6,64,0,2,45,2,18,1,1,1,-394,1
1,52,0,12,33,2,17,1,2,1,-852,1
4,46,1,9,46,1,1,2,2,0,409,0
11,50,0,7,46,0,2,1,2,0,-464,0
3,35,2,6,60,0,24,2,1,1,-203,0
2,51,1,1,49,2,4,1,2,1,374,0
12,25,0,11,40,1,3,1,2,0,824,1
9,28,2,7,35,0,1,2,1,0,-864,0
1,66,2,4,36,2,12,1,1,0,-37,0
7,49,0,2,50,3,4,1,2,0,118,1
9,27,1,6,32,2,18,1,2,1,-352,1
3,45,4,4,45,0,32,-2,2,0,-260,0
1,47,1,2,33,4,12,1,1,1,-374,1
11,40,1,12,44,2,17,1,2,1,-824,0
7,50,2,9,32,3,2,1,1,0,864,0
6,47,0,4,51,0,18,1,1,0,-57,0
12,32,2,3,37,4,24,2,2,1,1075,0
6,25,2,9,26,1,1,2,2,0,352,1
4,42,2,12,43,0,22,1,2,0,-815,0
7,41,1,3,51,2,24,2,2,0,715,1
1,20,1,11,58,0,3,1,2,1,-28,0
12,27,4,3,44,0,22,1,1,0,1075,0
6,23,1,2,40,1,4,1,2,1,-394,1
11,31,2,7,40,2,3,1,1,0,-464,1
1,48,2,9,44,0,12,1,1,1,372,0
6,30,1,3,49,2,4,1,0,1,203,1
4,52,2,9,54,1,2,1,0,0,409,1
4,54,0,3,46,2,32,-2,1,0,260,1
4,58,0,6,56,1,32,-2,1,1,57,0
3,45,2,6,46,1,18,1,2,0,258,0
7,31,2,9,38,0,2,1,1,0,213,1
11,38,1,2,27,0,3,1,1,0,-100,1
1,45,1,3,39,1,24,2,2,1,-6,1
9,41,2,4,36,2,32,-2,2,1,156,1
2,24,2,12,56,1,4,1,2,1,709,0
7,40,2,11,37,2,3,1,2,1,100,0
1,35,1,6,40,2,12,1,1,0,252,1
9,38,2,3,46,2,1,2,1,1,-380,1
12,43,2,4,38,0,17,1,1,0,-340,0
6,44,1,7,43,1,2,1,2,0,-91,0
1,44,1,2,64,1,4,1,2,1,161,0
3,29,3,11,38,1,24,2,1,1,267,0
9,48,0,2,40,4,1,2,1,1,-213,1
7,33,1,4,31,2,32,-2,2,0,369,0
6,48,0,11,39,0,18,1,1,1,9,1
12,34,3,1,48,1,12,1,2,0,-870,0
2,48,0,4,38,2,32,-2,2,1,369,1
12,35,1,6,45,2,17,1,1,0,-618,1
3,43,1,7,48,3,2,1,2,0,167,0
11,25,4,2,41,2,4,1,2,0,-100,1
1,58,0,9,26,2,12,1,1,1,374,1
4,39,0,3,32,4,24,2,2,1,-536,1
12,36,1,11,33,1,3,1,2,1,-609,0
6,47,1,4,27,1,18,1,1,1,278,0
1,31,2,7,48,0,2,1,2,0,161,0
9,24,2,3,60,0,24,2,2,1,-380,0
2,48,0,12,55,2,17,1,2,0,709,0
1,55,0,4,58,1,32,-2,2,1,530,0
7,62,0,2,43,4,2,1,1,0,0,1
12,53,0,3,21,3,22,1,1,0,-876,1
6,61,1,9,42,1,18,1,1,1,122,0
11,40,3,4,58,0,32,-2,2,1,269,0
12,45,0,6,45,2,18,1,2,1,-618,0
11,29,5,1,30,1,12,1,2,1,-261,0
9,52,1,7,35,1,1,2,1,1,-213,1
4,67,0,6,63,2,32,-2,1,0,-278,1
3,37,1,2,43,0,9,2,0,0,167,1
7,55,1,1,45,1,12,1,2,0,-161,0
9,36,1,12,55,2,1,2,1,1,496,1
4,29,2,2,46,4,4,1,1,1,-369,1
9,41,2,11,36,1,3,1,2,1,-113,0
6,37,3,3,34,2,9,2,0,1,-258,0
4,36,1,12,36,2,32,-2,1,1,340,1
7,30,0,2,39,1,4,1,2,1,0,1
1,34,2,6,48,1,18,1,2,1,252,0
3,26,1,11,41,2,3,1,2,1,267,0
7,31,1,12,46,1,2,1,1,0,709,0
9,32,0,4,32,4,1,2,1,1,156,1
2,61,0,1,53,0,12,1,2,1,-161,0
11,40,1,7,47,1,2,1,2,1,-100,0
3,42,2,1,49,0,12,1,2,1,6,0
9,41,0,6,38,1,1,2,1,1,-122,1
4,50,1,11,49,2,3,1,2,0,-269,1
12,37,1,1,38,1,17,1,2,0,-870,0
6,50,1,2,34,2,4,1,2,1,-91,1
7,40,2,3,49,2,24,2,2,0,-167,1
2,36,2,9,37,2,4,1,1,1,213,0
11,37,2,12,41,1,17,1,2,0,609,1
7,22,1,6,31,2,25,-1,2,0,91,0
4,37,0,1,24,3,12,1,2,0,-530,0
3,40,2,12,56,3,24,2,1,0,876,0
11,52,1,9,39,1,1,2,2,1,113,0
2,42,0,6,33,3,25,-1,2,0,91,1
4,47,0,3,49,2,32,-2,1,1,-536,1
9,49,1,1,29,4,1,2,2,0,-374,1
7,58,0,12,41,2,17,1,2,0,709,0
11,21,3,1,33,0,3,1,2,1,-261,1
12,35,2,9,51,2,22,1,1,0,-496,1
2,40,1,3,47,2,4,1,1,1,-167,1
7,76,1,4,56,3,2,1,1,0,369,1
6,33,1,11,45,0,3,1,2,1,9,0
4,47,0,9,56,1,24,2,0,1,-156,1
11,27,2,1,44,1,24,2,0,1,-261,0
1,42,0,9,45,0,18,1,0,1,374,0
9,34,3,4,35,4,18,1,0,1,156,1
6,31,1,9,32,1,10,1,0,1,61,1
3,30,3,7,50,1,34,1,0,0,148,0
4,70,0,12,64,3,10,1,0,1,-444,0
11,41,1,1,30,2,10,1,0,0,-172,0
9,49,1,7,30,3,21,1,0,0,434,0
6,31,2,3,49,2,21,1,0,1,347,0
1,54,1,12,39,3,34,1,0,0,-151,0
4,34,1,3,24,3,10,1,0,1,-140,1
12,43,0,11,45,3,34,1,0,0,323,1
4,51,1,1,38,2,21,1,0,0,-293,1
6,42,2,7,49,0,34,1,0,0,495,1
11,55,0,3,44,0,21,1,0,1,-19,1
9,31,2,4,51,0,21,1,0,1,426,0
